Date,Light
10/04/2017 3:33,37211.006
10/04/2017 3:38,69769.642
10/04/2017 3:43,60467.174
10/04/2017 3:48,41862.239
10/04/2017 3:53,32559.772
10/04/2017 3:58,23257.304
10/04/2017 4:03,34885.389
10/04/2017 4:08,30234.155
10/04/2017 4:13,27908.538
10/04/2017 4:18,25582.921
10/04/2017 4:23,18606.071
10/04/2017 4:28,20931.687
10/04/2017 4:33,18606.071
10/04/2017 4:38,18606.071
10/04/2017 4:43,23257.304
10/04/2017 4:48,23257.304
10/04/2017 4:53,1309.295
10/04/2017 4:58,41862.239
10/04/2017 5:03,11629.22
10/04/2017 5:08,20931.687
10/04/2017 5:13,20931.687
10/04/2017 5:18,15117.645
10/04/2017 5:23,15117.645
10/04/2017 5:28,18606.071
10/04/2017 5:33,13954.837
10/04/2017 5:38,15117.645
10/04/2017 5:43,20931.687
10/04/2017 5:48,15117.645
10/04/2017 5:53,9303.603
10/04/2017 5:58,13954.837
10/04/2017 6:03,27908.538
10/04/2017 6:08,51164.707
10/04/2017 6:13,8722.199
10/04/2017 6:18,25582.921
10/04/2017 6:23,10466.412
10/04/2017 6:28,12792.028
10/04/2017 6:33,18606.071
10/04/2017 6:38,17443.262
10/04/2017 6:43,2326.752
10/04/2017 6:48,1309.295
10/04/2017 6:53,1163.944
10/04/2017 6:58,319.091
10/04/2017 7:03,764.229
10/04/2017 7:08,437.189
10/04/2017 7:13,618.878
10/04/2017 7:18,437.189
10/04/2017 7:23,3344.21
10/04/2017 7:28,7559.39
10/04/2017 7:33,4507.018
10/04/2017 7:38,6105.88
10/04/2017 7:43,5524.476
10/04/2017 7:48,3925.614
10/04/2017 7:53,2617.455
10/04/2017 7:58,4070.965
10/04/2017 8:03,1236.62
10/04/2017 8:08,1745.348
10/04/2017 8:13,1890.699
10/04/2017 8:18,800.566
10/04/2017 8:23,800.566
10/04/2017 8:28,655.215
10/04/2017 8:33,264.584
10/04/2017 8:38,22.711
10/04/2017 8:43,6.813
10/04/2017 8:48,15.898
10/04/2017 8:53,24.982
10/04/2017 8:58,1.136
10/04/2017 9:03,1.136
10/04/2017 9:08,1.136
10/04/2017 9:13,1.136
10/04/2017 9:18,1.136
10/04/2017 9:23,1.136
10/04/2017 9:28,1.136
10/04/2017 9:33,1.136
10/04/2017 9:38,1.136
10/04/2017 9:43,1.136
10/04/2017 9:48,1.136
10/04/2017 9:53,1.136
10/04/2017 9:58,1.136
10/04/2017 10:03,1.136
10/04/2017 10:08,1.136
10/04/2017 10:13,1.136
10/04/2017 10:18,1.136
10/04/2017 10:23,1.136
10/04/2017 10:28,1.136
10/04/2017 10:33,1.136
10/04/2017 10:38,1.136
10/04/2017 10:43,1.136
10/04/2017 10:48,1.136
